#SysTm EventTmStmp Mag:x Mag:y Mag:z
42524189544485 42524180497000 -24.84 -2.04 -21.9 
42524258954527 42524245209000 -24.66 -1.26 -21.96 
42524323862860 42524312892000 -24.48 -0.42 -21.9 
42524389540193 42524378588000 -24.42 0.17999999 -21.84 
42524454503860 42524445422000 -24.48 0.78 -21.72 
42524521774235 42524512234000 -24.48 1.1999999 -21.6 
42524587328610 42524578977000 -24.48 1.56 -21.3 
42524646686069 42524645683000 -24.42 1.9799999 -21.06 
42524718161735 42524712778000 -24.42 2.52 -20.82 
42524785967027 42524779260000 -24.42 2.9399998 -20.64 
42524847506444 42524846263000 -24.42 3.6 -20.52 
42524913855777 42524912690000 -24.539999 4.38 -20.34 
42524980452069 42524979409000 -24.72 4.98 -20.1 
42525047217527 42525046168000 -24.779999 5.3399997 -19.98 
42525113964485 42525112869000 -24.779999 5.7 -19.92 
42525180694527 42525179607000 -24.779999 6.12 -19.74 
42525266765110 42525246990000 -24.779999 6.48 -19.619999 
42525335773652 42525313969000 -25.019999 6.6 -19.68 
42525410690902 42525380287000 -25.08 6.66 -19.68 
42525466053735 42525446916000 -24.96 6.72 -19.68 
42525515686319 42525514051000 -24.84 6.72 -19.8 
42525583132902 42525581592000 -24.84 6.72 -19.8 
42525649441735 42525647864000 -24.84 6.6 -19.92 
42525716262194 42525714460000 -25.019999 6.48 -19.92 
42525783580902 42525782059000 -24.779999 6.24 -19.98 
42525849494985 42525848109000 -24.9 6.18 -19.8 
42525916244069 42525914736000 -24.96 6.12 -19.8 
42525982934194 42525981471000 -24.84 5.94 -19.92 
42526049959653 42526048343000 -24.84 5.8199997 -19.98 
42526116769944 42526115070000 -24.779999 5.8199997 -19.98 
42526183411277 42526181804000 -24.6 5.8799996 -19.98 
42526250546652 42526248618000 -24.6 5.8799996 -19.98 
42526317652860 42526316042000 -24.539999 5.58 -19.98 
42526383555027 42526382088000 -24.3 5.58 -19.92 
42526465258986 42526449108000 -24.3 5.58 -19.859999 
42526521303070 42526516155000 -24.42 5.46 -19.8 
42526584482361 42526582630000 -24.359999 5.3399997 -19.74 
42526651267861 42526649370000 -24.3 5.3399997 -19.56 
42526717955278 42526716204000 -24.119999 5.2799997 -19.5 
42526784194944 42526782797000 -24.0 5.3399997 -19.5 
42526852129861 42526850121000 -24.24 5.4 -19.32 
42526920750945 42526916512000 -24.119999 5.2799997 -19.56 
42526984395861 42526983122000 -24.06 5.2799997 -19.56 
42527051179444 42527049896000 -24.119999 5.2799997 -19.439999 
42527118331903 42527116670000 -24.0 5.16 -19.5 
42527184802736 42527183512000 -24.06 5.2799997 -19.56 
42527252353028 42527250282000 -24.24 5.46 -19.32 
42527319298944 42527317183000 -24.24 5.7599998 -19.5 
42527385720195 42527384086000 -24.42 6.0 -19.38 
42527464822569 42527451059000 -24.66 6.42 -19.32 
42527519804945 42527517497000 -24.72 6.6 -19.38 
42527585714320 42527584117000 -24.779999 6.8399997 -19.439999 
42527653014820 42527651026000 -24.84 7.14 -19.56 
