#SysTm EventTmStmp Ori:x Ori:y Ori:z
21499302785612 1374855807277369302 -1.9495288 -0.45510477 0.1663018 
21499308706564 1374855807282343667 -1.9484563 -0.45643443 0.1664395 
21499314169710 1374855807287440103 -1.9477575 -0.45760518 0.16652086 
21499319297133 1374855807292444985 -1.9471756 -0.45851135 0.1666015 
21499324546637 1374855807297510903 -1.9467752 -0.45914936 0.1666773 
21499331322159 1374855807302485269 -1.9462652 -0.4595368 0.16671601 
21499337151550 1374855807307520669 -1.9462571 -0.45976937 0.16663799 
21499342645217 1374855807312556069 -1.9464434 -0.45991725 0.16643772 
21499349512301 1374855807317652505 -1.9467844 -0.46006012 0.1661339 
21499355921579 1374855807321406167 -1.9467174 -0.4602245 0.16587059 
21499360774319 1374855807327662271 -1.9472606 -0.46057886 0.16538943 
21499365901742 1374855807332697671 -1.9477026 -0.46092093 0.16500361 
21499372463622 1374855807337794107 -1.9480971 -0.46129733 0.16461352 
21499378476135 1374855807342829507 -1.9481053 -0.46165687 0.16422565 
21499383664598 1374855807347803872 -1.9483801 -0.46195376 0.16385399 
21499389036184 1374855807352839273 -1.948653 -0.4621733 0.1635346 
21499404021686 1374855807357935708 -1.948948 -0.46231663 0.16328463 
21499412079065 1374855807362910073 -1.9489331 -0.46240008 0.16313678 
21499418824067 1374855807367945474 -1.949287 -0.46244437 0.16307735 
21499423768367 1374855807373011392 -1.9497492 -0.46245182 0.16310985 
21499430482849 1374855807378077310 -1.95032 -0.46243384 0.16321775 
21499436861607 1374855807383051675 -1.9505966 -0.462422 0.16337578 
21499442294233 1374855807398218911 -1.9525313 -0.46248704 0.164114 
21499450992540 1374855807403193276 -1.9528269 -0.46255574 0.16436765 
21499456058922 1374855807408259194 -1.9533468 -0.46264455 0.16457236 
21499461186345 1374855807413264077 -1.9538107 -0.4627273 0.16469043 
21499466069605 1374855807418360513 -1.9542292 -0.46279135 0.16472 
21499478369314 1374855807422114175 -1.9541818 -0.4628396 0.16465364 
21499484442868 1374855807428400796 -1.9545155 -0.46290538 0.16444561 
21499491554115 1374855807433436196 -1.9547331 -0.46294734 0.16417862 
21499511117674 1374855807438502114 -1.9549037 -0.46298906 0.16385657 
21499531230599 1374855807443476480 -1.9547907 -0.46303815 0.1634922 
21499538219764 1374855807448511880 -1.9549133 -0.4631025 0.16310824 
21499544415399 1374855807453547280 -1.9550385 -0.46316823 0.16272728 
21499552289655 1374855807458643716 -1.9551915 -0.46322152 0.16237612 
21499559736626 1374855807463618081 -1.9551243 -0.4632622 0.16208993 
21499565993302 1374855807468683999 -1.9553323 -0.46327916 0.16185462 
21499573012988 1374855807473719399 -1.9555631 -0.4632808 0.16168535 
21499580093715 1374855807478785317 -1.9558234 -0.46327394 0.16160323 
21499587510166 1374855807483759683 -1.9558802 -0.46327093 0.16160752 
21499597063042 1374855807488825601 -1.9561205 -0.4632777 0.16165525 
21499604601574 1374855807493861001 -1.9563109 -0.46329376 0.16174406 
21499611316056 1374855807498926919 -1.9564645 -0.46331173 0.16183439 
21499621387778 1374855807503931802 -1.956413 -0.46330717 0.16189791 
21499628499025 1374855807508936685 -1.9565216 -0.46328998 0.16191262 
21499634786222 1374855807514002603 -1.9565583 -0.46326956 0.16190942 
21499641042898 1374855807519068521 -1.9565631 -0.46323153 0.16189918 
21499648428828 1374855807522791665 -1.956294 -0.4631851 0.16187413 
21499654777065 1374855807529078286 -1.9561546 -0.46312848 0.16184562 
21499660728538 1374855807534144204 -1.9560076 -0.46308374 0.16181976 
21499667870305 1374855807539240640 -1.9558498 -0.4630232 0.16179146 
21499674859471 1374855807544215005 -1.9554006 -0.46294394 0.1617643 
21499680536260 1374855807549219888 -1.9551823 -0.46286133 0.16174027 
21499685816285 1374855807554285806 -1.9550021 -0.46276212 0.16178297 
21499693110653 1374855807559351724 -1.9547255 -0.46268868 0.1619171 
21499699977737 1374855807564326089 -1.9541932 -0.4626254 0.1621217 
21499706203893 1374855807569361489 -1.9538463 -0.46258238 0.16233301 
21499713254099 1374855807574396890 -1.9534584 -0.46254975 0.16254315 
21499718564644 1374855807579493325 -1.9529713 -0.46253717 0.16276106 
21499724577157 1374855807584498208 -1.9521893 -0.462506 0.16299285 
21499732085168 1374855807589533608 -1.9515995 -0.4624376 0.16323927 
21499737914560 1374855807594630044 -1.9508892 -0.46233776 0.16347407 
21499744506960 1374855807599634927 -1.9501444 -0.4621968 0.1636736 
21499753235786 1374855807604609292 -1.9491373 -0.4620155 0.16382097 
21499759767146 1374855807609644692 -1.9483715 -0.46179277 0.16396736 
21499764589366 1374855807614710610 -1.9475904 -0.46154004 0.1640943 
21499770968124 1374855807619776528 -1.9468237 -0.46128786 0.16421981 
21499777804688 1374855807623530190 -1.946034 -0.46110058 0.16431761 
21499783420436 1374855807629786294 -1.9451911 -0.46077478 0.16449235 
21499793461638 1374855807634821694 -1.944489 -0.46054083 0.16465926 
21499802495669 1374855807639918130 -1.943702 -0.46035576 0.16482301 
21499814093410 1374855807644923013 -1.9428518 -0.4601748 0.16504212 
21499826393120 1374855807649958413 -1.9424343 -0.45994145 0.16533257 
21499848306747 1374855807654993814 -1.9422505 -0.4595818 0.16569595 
21499861918833 1374855807660059732 -1.9422421 -0.45904556 0.16609119 
21499871532750 1374855807665034097 -1.9420507 -0.45838797 0.16652642 
21499884778591 1374855807670069497 -1.9421028 -0.45765707 0.16705334 
21499895979569 1374855807675135415 -1.9421761 -0.45694488 0.16774158 
21499907058464 1374855807680201333 -1.9421823 -0.4563685 0.1685878 
21499920578989 1374855807685175698 -1.9419044 -0.456029 0.16949616 
