#SysTm EventTmStmp Light
36543652100136 36543622559000 20.0 
36543656406636 36543632651000 20.0 
36543686598262 36543642511000 16.0 
36543690658096 36543652505000 16.0 
36543694391554 36543663089000 16.0 
36543698637221 36543672500000 16.0 
36543728497596 36543683076000 20.0 
36543735595096 36543692510000 20.0 
36543739800554 36543702504000 20.0 
36543743674637 36543712503000 20.0 
36543747779137 36543722610000 16.0 
36543777326804 36543733180000 16.0 
36543782013846 36543742563000 16.0 
36543786494638 36543752557000 16.0 
36543806631888 36543762504000 16.0 
36543834920054 36543772556000 16.0 
36543913850429 36543782608000 16.0 
36543919509012 36543792497000 16.0 
36543923969721 36543803033000 16.0 
36543928279512 36543812585000 20.0 
36543932560971 36543822563000 20.0 
36543937275512 36543832585000 20.0 
36543941600096 36543842617000 20.0 
36543945352554 36543852695000 16.0 
36543949007054 36543862692000 16.0 
36543954222137 36543872834000 16.0 
36543959017679 36543882716000 16.0 
36543960407804 36543900893000 16.0 
36543991600679 36543913129000 16.0 
36543997592512 36543922519000 16.0 
36544001460971 36543932519000 16.0 
36544005368679 36543942878000 16.0 
36544009762887 36543952524000 16.0 
